Item Name,Price,Quantity,Date
APFEL SNACKAPFEL,1.99,1,21.09.2024
INGWER BIO,7.9,0.088,21.09.2024
KNOBLAUCH BIO,1.09,1,21.09.2024
KUERB. HOKKAIDO,1.19,1.076,21.09.2024
"BIO FR.MILCH 3,8",1.25,1,21.09.2024
SOJAGHURT NATUR,0.95,2,21.09.2024
WEIZEN-VOLLKORNM,0.99,1,21.09.2024
SPEISEHIRSE,3.99,1,21.09.2024
BACKIN,1.29,1,21.09.2024
BACKAROM.ZITRONE,0.89,1,21.09.2024
HONIG FLUESSIG,6.99,1,21.09.2024
COCA COLA,1.59,1,21.09.2024
"PFAND 0,25 EURO",0.25,1,21.09.2024
Rewe Regional 5%,-0.06,1,21.09.2024
