Date,Spent
2024-05-17,0.88
2024-05-18,1.76
2024-05-21,7.2
2024-05-24,0.69
2024-05-28,1.69
2024-06-03,3.9
2024-06-10,1.19
2024-06-12,2.38
2024-06-15,2.38
2024-06-17,3.52
2024-06-20,2.64
2024-07-04,0.79
2024-07-05,0.79
2024-07-06,0.79
2024-07-20,3.99
2024-07-24,1.49
2024-08-03,1.39
2024-08-10,1.39
2024-08-12,2.99
2024-08-14,6.99
2024-08-16,2.68
2024-08-17,2.98
2024-08-19,1.19
2024-09-03,1.79
2024-09-10,1.49
2024-09-17,2.49
2024-09-19,1.49
2024-09-24,2.29
2024-09-28,1.49
2024-10-07,2.49
2024-10-10,2.98
2024-10-23,1.39
2024-10-25,1.39
2024-10-29,1.39
2024-10-31,2.69
2024-11-02,3.99
2024-11-04,2.29
2024-11-06,2.49
2024-11-07,4.38
2024-11-09,1.79
2024-11-14,2.39
2024-11-19,2.39
2024-11-22,3.28
2024-11-25,3.78
2024-11-26,2.78
2024-11-28,3.71
2024-12-05,3.59
