Date,Spent
2024-05-17,1.35
2024-06-21,1.35
2024-06-29,1.35
2024-07-05,1.79
2024-07-10,1.29
2024-07-16,1.11
2024-07-18,1.11
2024-07-20,1.35
2024-07-25,1.35
2024-07-26,1.35
2024-08-03,1.35
2024-08-10,1.11
2024-08-16,1.35
2024-08-24,1.35
2024-09-05,1.35
2024-09-06,1.35
2024-09-07,1.35
2024-09-16,1.29
2024-09-21,1.59
2024-09-27,1.59
2024-09-30,1.59
2024-10-04,1.59
2024-10-05,1.59
2024-10-09,1.59
2024-10-10,1.59
2024-10-12,1.59
2024-10-14,1.19
2024-10-17,1.19
2024-10-19,1.19
2024-11-11,1.19
2024-11-12,1.19
2024-11-14,1.19
2024-11-16,1.19
2024-11-22,1.89
2024-11-25,1.39
2024-11-29,1.39
2024-12-05,1.59
