Date,Spent
2024-05-15,1.25
2024-05-17,1.25
2024-05-24,1.25
2024-05-27,3.24
2024-05-28,1.89
2024-05-31,5.23
2024-06-03,1.25
2024-06-05,1.25
2024-06-08,1.25
2024-06-12,1.25
2024-06-14,1.25
2024-06-17,1.25
2024-06-20,1.25
2024-06-24,1.25
2024-06-26,2.22
2024-06-28,1.25
2024-07-06,1.25
2024-07-08,1.25
2024-07-11,1.25
2024-07-15,5.97
2024-07-18,3.24
2024-07-20,1.25
2024-07-26,3.98
2024-08-02,4.24
2024-08-07,1.25
2024-08-12,2.29
2024-08-13,4.58
2024-08-14,1.99
2024-08-17,1.25
2024-09-04,1.15
2024-09-19,3.47
2024-09-20,2.59
2024-09-21,1.25
2024-09-26,1.25
2024-09-30,1.25
2024-10-09,1.25
2024-10-16,1.99
2024-10-17,1.25
2024-10-21,2.22
2024-10-25,4.44
2024-10-31,1.25
2024-11-02,1.25
2024-11-09,3.29
2024-11-11,6.66
2024-11-14,1.25
2024-11-16,4.44
2024-11-18,1.25
2024-11-26,3.24
2024-12-02,1.25
2024-12-09,1.25
2024-12-12,1.25
2024-12-16,1.25
2024-12-28,1.25
2024-12-30,3.47
