Date,Spent
2024-05-17,-0.24
2024-05-21,-0.45
2024-05-22,-0.08
2024-05-24,-0.06
2024-05-27,-0.25
2024-05-31,-2.45
2024-06-03,-0.12
2024-06-05,-0.06
2024-06-08,-0.06
2024-06-10,-0.32
2024-06-11,-0.2
2024-06-12,-0.18
2024-06-14,-0.09
2024-06-15,-0.09
2024-06-17,-0.44
2024-06-20,-0.6
2024-06-21,-0.09
2024-07-08,-0.12
2024-07-15,-0.06
2024-07-26,-0.06
2024-07-29,-1.4
2024-08-12,-0.37
2024-08-13,-0.1
2024-08-14,-0.1
2024-08-15,-0.28
2024-08-16,-0.1
2024-08-17,-0.1
2024-08-19,-0.2
2024-08-20,-0.19
2024-08-24,-0.19
2024-08-27,-0.67
2024-08-30,-0.23
2024-09-16,-0.1
2024-09-19,-0.22
2024-09-21,-0.06
2024-09-24,-0.83
2024-09-26,-0.29
2024-09-27,-0.65
2024-09-28,-1.14
2024-09-30,-0.29
2024-10-02,-0.38
2024-10-05,-0.26
2024-10-07,-0.05
2024-10-11,-0.22
2024-10-12,-0.1
2024-10-14,-0.3
2024-10-17,-0.05
2024-10-21,-1.1
2024-10-22,-0.21
2024-10-23,-0.26
2024-10-25,-0.28
2024-10-26,-0.14
2024-10-28,-0.19
2024-10-29,-0.28
2024-10-31,-0.06
2024-11-02,-0.2
2024-11-05,-0.18
2024-11-06,-0.53
2024-11-08,-0.14
2024-11-09,-0.21
2024-11-11,-0.18
2024-11-12,-0.36
2024-11-14,-0.5
2024-11-16,-0.23
2024-11-22,-0.05
2024-11-23,-0.18
2024-11-25,-0.32
