Date,Spent
2024-05-17,0.25
2024-06-21,0.25
2024-06-29,0.25
2024-07-05,0.25
2024-07-10,0.25
2024-07-16,0.25
2024-07-18,0.25
2024-07-20,0.25
2024-07-25,0.25
2024-07-26,0.25
2024-08-03,0.25
2024-08-10,0.25
2024-08-16,0.25
2024-08-24,0.25
2024-09-05,0.25
2024-09-06,0.25
2024-09-07,0.25
2024-09-16,0.25
2024-09-21,0.25
2024-09-27,0.25
2024-09-30,0.25
2024-10-04,0.25
2024-10-05,0.25
2024-10-09,0.25
2024-10-10,0.25
2024-10-12,0.25
2024-10-14,0.25
2024-10-17,0.25
2024-10-19,0.25
2024-11-11,0.25
2024-11-12,0.25
2024-11-14,0.25
2024-11-16,0.25
2024-11-22,0.25
2024-11-25,0.25
2024-11-29,0.25
2024-12-05,0.25
