Date,Spent
2024-05-15,3.39
2024-05-17,3.39
2024-05-21,3.61
2024-05-31,5.97
2024-06-05,3.39
2024-06-08,2.99
2024-06-11,3.98
2024-06-12,2.22
2024-06-24,1.59
2024-06-28,1.99
2024-07-11,3.69
2024-07-15,2.22
2024-07-22,1.99
2024-07-24,3.69
2024-07-25,1.99
2024-07-27,1.99
2024-07-29,3.98
2024-08-02,3.39
2024-08-05,3.69
2024-08-10,1.59
2024-08-12,3.69
2024-08-15,5.68
2024-08-24,2.22
2024-09-10,3.69
2024-09-16,3.39
2024-09-27,3.69
2024-09-28,3.69
2024-10-07,1.99
2024-10-14,2.69
2024-10-19,1.99
2024-10-21,1.99
2024-10-25,3.39
2024-11-02,3.39
2024-11-04,3.49
2024-11-06,3.69
2024-11-08,3.39
2024-11-11,3.98
2024-11-14,1.99
2024-11-16,1.99
2024-11-23,3.69
2024-11-25,3.98
2024-11-29,3.98
2024-12-02,1.59
2024-12-12,1.11
2024-12-18,4.77
2024-12-20,3.18
