Date,Spent
2024-05-17,2.22
2024-05-27,1.49
2024-06-10,3.18
2024-06-17,1.49
2024-06-20,1.49
2024-06-21,1.49
2024-06-26,2.79
2024-06-28,1.99
2024-07-01,4.49
2024-07-08,1.11
2024-07-20,2.19
2024-07-22,1.49
2024-07-25,1.49
2024-08-03,1.99
2024-08-05,1.99
2024-08-07,1.99
2024-08-10,3.98
2024-08-13,10.98
2024-08-15,1.99
2024-08-17,1.99
2024-08-20,1.99
2024-08-24,1.99
2024-09-03,4.77
2024-09-20,1.99
2024-10-04,1.99
2024-10-07,0.99
2024-10-11,1.99
2024-11-05,1.29
2024-12-30,1.59
