Date,Spent
2024-05-17,1.19
2024-05-22,1.99
2024-06-01,4.17
2024-06-10,7.86
2024-06-11,2.39
2024-06-17,3.0
2024-06-24,10.22
2024-06-29,1.79
2024-07-10,1.79
2024-07-13,1.79
2024-07-15,6.46
2024-07-18,2.69
2024-07-23,3.58
2024-07-26,5.47
2024-07-27,1.79
2024-08-03,1.19
2024-08-19,4.18
2024-08-20,2.99
2024-08-27,12.43
2024-08-30,4.07
2024-09-04,3.97
2024-09-06,4.46
2024-09-07,1.99
2024-09-20,4.08
2024-09-21,3.07
2024-09-28,5.96
2024-10-02,2.22
2024-10-04,4.73
2024-10-05,2.39
2024-10-12,2.39
2024-10-14,0.99
2024-10-26,1.49
2024-10-28,0.79
2024-11-11,2.38
2024-11-12,6.46
2024-11-16,2.95
2024-11-23,2.91
2024-11-25,2.38
2024-12-05,5.96
2024-12-09,3.59
2024-12-12,8.8
2024-12-17,3.77
2024-12-19,3.66
2024-12-27,5.19
2024-12-28,1.19
2024-12-30,7.05
