Date,Spent
2025-01-09,2.58
2025-01-13,3.68
2025-01-17,3.39
2025-01-20,3.39
2025-01-24,1.99
2025-01-27,4.98
2025-01-30,5.38
2025-02-07,8.37
2025-02-08,3.39
2025-02-13,2.19
2025-02-17,1.49
2025-02-18,6.46
2025-02-22,1.49
2025-02-24,4.98
2025-03-05,4.57
2025-03-12,7.47
2025-03-14,3.39
2025-03-17,8.58
2025-03-25,1.49
2025-03-29,4.98
2025-04-03,7.26
2025-04-05,2.39
2025-04-07,1.29
2025-04-08,1.99
2025-04-12,4.98
2025-04-16,7.47
2025-04-22,1.59
2025-04-25,9.26
2025-04-28,1.89
2025-05-02,7.47
