Date,Spent
2025-01-02,9.2
2025-01-03,7.31
2025-01-09,11.02
2025-01-11,7.94
2025-01-25,1.39
2025-01-27,2.78
2025-01-28,2.78
2025-01-30,6.15
2025-02-01,7.25
2025-02-03,9.94
2025-02-08,10.32
2025-02-11,4.17
2025-02-14,7.25
2025-02-17,5.56
2025-02-18,5.56
2025-02-21,16.09
2025-02-22,4.17
2025-02-24,1.39
2025-02-25,6.95
2025-02-26,4.17
2025-02-28,5.56
2025-03-01,1.59
2025-03-03,11.12
2025-03-05,5.56
2025-03-06,9.53
2025-03-08,9.35
2025-03-10,5.56
2025-03-12,5.56
2025-03-15,7.15
2025-03-17,10.32
2025-03-19,8.35
2025-03-20,5.56
2025-03-22,12.32
2025-03-26,5.56
2025-03-27,5.56
2025-03-29,13.51
2025-04-01,5.56
2025-04-03,8.35
2025-04-05,2.78
2025-04-07,1.39
2025-04-08,1.39
2025-04-12,10.38
2025-04-16,5.56
2025-04-22,8.35
2025-04-25,10.52
2025-04-28,7.01
2025-04-30,11.14
2025-05-02,5.56
2025-05-03,7.94
