Date,Category,Spent
01.2024,Animal,0
01.2024,Breakfast,0
01.2024,Candy,0
01.2024,Cereal,0
01.2024,Coffee,0
01.2024,Cola,0
01.2024,Dairy,0
01.2024,Dairy Replacement,0
01.2024,Discount,0
01.2024,Fruit,0
01.2024,Hygiene,0
01.2024,Lentils,0
01.2024,Oil,0
01.2024,Pawn,0
01.2024,Pawn Payback,0
01.2024,Processed Meal Part,0
01.2024,Ready Meals,0
01.2024,Snacks,0
01.2024,Spices,0
01.2024,Supplement,0
01.2024,Tea,0
01.2024,Vegetables,0
01.2024,Yoghurt-Meal,0
02.2024,Animal,0
02.2024,Breakfast,0
02.2024,Candy,0
02.2024,Cereal,0
02.2024,Coffee,0
02.2024,Cola,0
02.2024,Dairy,0
02.2024,Dairy Replacement,0
02.2024,Discount,0
02.2024,Fruit,0
02.2024,Hygiene,0
02.2024,Lentils,0
02.2024,Oil,0
02.2024,Pawn,0
02.2024,Pawn Payback,0
02.2024,Processed Meal Part,0
02.2024,Ready Meals,0
02.2024,Snacks,0
02.2024,Spices,0
02.2024,Supplement,0
02.2024,Tea,0
02.2024,Vegetables,0
02.2024,Yoghurt-Meal,0
03.2024,Animal,0
03.2024,Breakfast,0
03.2024,Candy,0
03.2024,Cereal,0
03.2024,Coffee,0
03.2024,Cola,0
03.2024,Dairy,0
03.2024,Dairy Replacement,0
03.2024,Discount,0
03.2024,Fruit,0
03.2024,Hygiene,0
03.2024,Lentils,0
03.2024,Oil,0
03.2024,Pawn,0
03.2024,Pawn Payback,0
03.2024,Processed Meal Part,0
03.2024,Ready Meals,0
03.2024,Snacks,0
03.2024,Spices,0
03.2024,Supplement,0
03.2024,Tea,0
03.2024,Vegetables,0
03.2024,Yoghurt-Meal,0
04.2024,Animal,0
04.2024,Breakfast,0
04.2024,Candy,0
04.2024,Cereal,0
04.2024,Coffee,0
04.2024,Cola,0
04.2024,Dairy,0
04.2024,Dairy Replacement,0
04.2024,Discount,0
04.2024,Fruit,0
04.2024,Hygiene,0
04.2024,Lentils,0
04.2024,Oil,0
04.2024,Pawn,0
04.2024,Pawn Payback,0
04.2024,Processed Meal Part,0
04.2024,Ready Meals,0
04.2024,Snacks,0
04.2024,Spices,0
04.2024,Supplement,0
04.2024,Tea,0
04.2024,Vegetables,0
04.2024,Yoghurt-Meal,0
05.2024,Animal,1.89
05.2024,Breakfast,0
05.2024,Candy,11.77
05.2024,Cereal,3.58
05.2024,Coffee,3.99
05.2024,Cola,1.35
05.2024,Dairy,14.11
05.2024,Dairy Replacement,0
05.2024,Discount,-0.74
05.2024,Fruit,0
05.2024,Hygiene,0
05.2024,Lentils,1.65
05.2024,Oil,0
05.2024,Pawn,0.25
05.2024,Pawn Payback,0
05.2024,Processed Meal Part,19.89
05.2024,Ready Meals,14.26
05.2024,Snacks,3.47
05.2024,Spices,0
05.2024,Supplement,0
05.2024,Tea,0
05.2024,Vegetables,3.18
05.2024,Yoghurt-Meal,29.42
06.2024,Animal,6.82
06.2024,Breakfast,3.18
06.2024,Candy,15.24
06.2024,Cereal,5.77
06.2024,Coffee,1.99
06.2024,Cola,2.7
06.2024,Dairy,13.47
06.2024,Dairy Replacement,0
06.2024,Discount,-1.48
06.2024,Fruit,0
06.2024,Hygiene,2.97
06.2024,Lentils,2.0
06.2024,Oil,0
06.2024,Pawn,0.5
06.2024,Pawn Payback,0
06.2024,Processed Meal Part,13.35
06.2024,Ready Meals,16.16
06.2024,Snacks,12.43
06.2024,Spices,0
06.2024,Supplement,0
06.2024,Tea,0
06.2024,Vegetables,29.43
06.2024,Yoghurt-Meal,56.47
07.2024,Animal,0
07.2024,Breakfast,0
07.2024,Candy,7.85
07.2024,Cereal,3.38
07.2024,Coffee,1.99
07.2024,Cola,9.35
07.2024,Dairy,18.19
07.2024,Dairy Replacement,0
07.2024,Discount,-0.12
07.2024,Fruit,0
07.2024,Hygiene,3.48
07.2024,Lentils,0
07.2024,Oil,1.65
07.2024,Pawn,1.75
07.2024,Pawn Payback,0
07.2024,Processed Meal Part,16.02
07.2024,Ready Meals,18.15
07.2024,Snacks,10.65
07.2024,Spices,3.49
07.2024,Supplement,0
07.2024,Tea,0
07.2024,Vegetables,23.57
07.2024,Yoghurt-Meal,67.83
08.2024,Animal,0
08.2024,Breakfast,0
08.2024,Candy,19.61
08.2024,Cereal,3.38
08.2024,Coffee,1.79
08.2024,Cola,5.16
08.2024,Dairy,15.6
08.2024,Dairy Replacement,0
08.2024,Discount,-2.53
08.2024,Fruit,1.9
08.2024,Hygiene,0
08.2024,Lentils,1.65
08.2024,Oil,1.55
08.2024,Pawn,1.0
