Date,Animal,Breakfast,Candy,Cereal,Coffee,Cola,Dairy,Dairy Replacement,Discount,Fruit,Hygiene,Lentils,Oil,Pawn,Pawn Payback,Processed Meal Part,Ready Meals,Snacks,Spices,Supplement,Tea,Vegetables,Yoghurt-Meal
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.89,0.0,11.77,3.58,3.99,1.35,14.11,0.0,-0.74,0.0,0.0,1.65,0.0,0.25,0.0,19.89,14.26,3.47,0.0,0.0,0.0,3.18,29.42
6,6.82,3.18,15.24,5.77,1.99,2.7,13.47,0.0,-1.48,0.0,2.97,2.0,0.0,0.5,0.0,13.35,16.16,12.43,0.0,0.0,0.0,29.43,56.47
7,0.0,0.0,7.85,3.38,1.99,9.35,18.19,0.0,-0.12,0.0,3.48,0.0,1.65,1.75,0.0,16.02,18.15,10.65,3.49,0.0,0.0,23.57,67.83
8,0.0,0.0,19.61,3.38,1.79,5.16,15.6,0.0,-2.53,1.9,0.0,1.65,1.55,1.0,0.0,14.32,20.26,28.89,0.0,2.99,0.0,24.86,67.85
9,5.08,0.79,11.04,4.98,0.0,10.01,10.96,0.0,-3.26,5.1,5.06,0.0,0.0,1.75,-3.55,14.93,14.46,6.76,0.0,0.0,0.0,23.53,72.55
10,2.49,1.58,12.33,0.0,0.0,11.52,12.4,0.0,-2.88,3.49,1.89,2.29,1.55,2.0,-2.75,23.25,11.05,4.97,0.0,0.0,5.98,15.0,64.91
11,4.48,12.35,33.07,0.99,0.0,9.43,21.38,0.0,-2.59,0.0,2.78,0.0,1.55,1.75,-0.75,4.08,33.57,1.0,0.0,0.0,0.0,17.08,64.58
12,5.08,8.66,3.59,0.0,0.0,1.59,9.72,0.0,0.0,0.0,6.66,4.77,1.55,0.25,-1.25,9.14,10.65,1.59,0.0,0.0,1.99,39.21,72.88
