Date,Spent
2024-05-15,13.98
2024-05-17,17.43
2024-05-18,1.76
2024-05-21,13.92
2024-05-22,3.56
2024-05-24,10.31
2024-05-27,20.87
2024-05-28,5.97
2024-05-31,20.27
2024-06-01,10.89
2024-06-03,10.88
2024-06-05,7.25
2024-06-08,18.17
2024-06-10,21.47
2024-06-11,8.16
2024-06-12,9.23
2024-06-14,6.62
2024-06-15,4.07
2024-06-17,11.71
2024-06-20,19.96
2024-06-21,4.78
2024-06-24,19.5
2024-06-26,8.57
2024-06-28,13.36
2024-06-29,6.38
2024-07-01,8.05
2024-07-04,6.04
2024-07-05,10.68
2024-07-06,5.6
2024-07-08,5.8
2024-07-10,5.32
2024-07-11,9.6
2024-07-13,8.33
2024-07-15,17.44
2024-07-16,7.42
2024-07-18,23.65
2024-07-20,9.03
2024-07-22,9.66
2024-07-23,14.64
2024-07-24,8.82
2024-07-25,6.97
2024-07-26,17.17
2024-07-27,6.63
2024-07-29,6.38
2024-08-02,15.8
2024-08-03,13.74
2024-08-05,5.68
2024-08-07,15.99
2024-08-10,14.01
2024-08-12,14.05
2024-08-13,25.22
2024-08-14,10.78
2024-08-15,9.28
2024-08-16,7.97
2024-08-17,15.88
2024-08-19,7.07
2024-08-20,8.59
2024-08-24,11.11
2024-08-27,23.92
2024-08-30,9.19
2024-09-03,9.8
2024-09-04,8.8
2024-09-05,8.84
2024-09-06,12.88
2024-09-07,5.78
2024-09-10,13.5
2024-09-11,3.8
2024-09-16,12.22
2024-09-17,7.21
2024-09-19,8.4
2024-09-20,14.5
2024-09-21,24.14
2024-09-24,10.6
2024-09-26,9.07
2024-09-27,7.73
2024-09-28,11.79
2024-09-30,11.13
2024-10-02,7.53
2024-10-04,10.11
2024-10-05,8.84
2024-10-07,10.57
2024-10-08,10.45
2024-10-09,6.58
2024-10-10,10.98
2024-10-11,8.83
2024-10-12,6.03
2024-10-14,6.72
2024-10-16,6.16
2024-10-17,4.98
2024-10-19,8.7
2024-10-21,11.46
2024-10-22,5.65
2024-10-23,12.26
2024-10-25,13.11
2024-10-26,4.13
2024-10-28,6.27
2024-10-29,5.28
2024-10-31,6.43
2024-11-02,14.9
2024-11-04,6.73
2024-11-05,8.48
2024-11-06,13.75
2024-11-07,4.38
2024-11-08,12.6
2024-11-09,9.04
2024-11-11,18.45
2024-11-12,11.71
2024-11-14,18.19
2024-11-16,12.62
2024-11-18,4.63
2024-11-19,2.39
2024-11-21,6.36
2024-11-22,9.89
2024-11-23,9.2
2024-11-25,11.46
2024-11-26,11.88
2024-11-28,6.49
2024-11-29,11.6
2024-12-02,9.19
2024-12-03,7.55
2024-12-05,28.08
2024-12-07,4.47
2024-12-09,6.13
2024-12-12,16.04
2024-12-16,9.19
2024-12-17,7.21
2024-12-18,13.37
2024-12-19,3.66
2024-12-20,16.02
2024-12-27,12.05
2024-12-28,16.63
2024-12-30,26.49
