Item Name,Price,Quantity,Date
"BIO FR.MILCH 3,8",1.25,1,15.05.2024
SOJAGHURT NATUR,0.89,4,15.05.2024
HUEHNERNUDELTOPF,3.39,1,15.05.2024
ZIMT GEMAHLEN,3.89,1,15.05.2024
TOMATENKETCHUP,1.89,1,15.05.2024
TORTELLINI KAESE,1.39,1,17.05.2024
BIO TOMATENS.KRA,1.89,1,17.05.2024
STUECKIGE TOMATE,1.19,1,17.05.2024
CHIPSFRISCH,1.11,1,17.05.2024
ORIENTAL,1.11,1,17.05.2024
"Funny Frisch 0,99",-0.24,1,17.05.2024
"BIO FR.MILCH 3,8",1.25,1,17.05.2024
SOJAGHURT NATUR,0.89,3,17.05.2024
HAFERFLOCK. ZART,1.19,1,17.05.2024
SPAETZLETOPF,3.39,1,17.05.2024
KOKOS,0.88,1,17.05.2024
COCA COLA,1.35,1,17.05.2024
"PFAND 0,25 EURO",0.25,1,17.05.2024
KOKOS,0.88,1,18.05.2024
MARZIPAN,0.88,1,18.05.2024
SOJAGHURT NATUR,0.89,4,21.05.2024
ITAL. GEMUESEPF,2.22,1,21.05.2024
KARAMEL SUTRA,4.44,1,21.05.2024
TORTELLINI BUNT,1.39,1,21.05.2024
CARAMEL BROWNIE,0.69,1,21.05.2024
ZARTBITTERSCHOKO,0.69,1,21.05.2024
SCHO.BLACK/WHITE,0.69,1,21.05.2024
SCHOGETT.VM.NUSS,0.69,1,21.05.2024
"Ben+Jerrys 3,99",-0.45,1,21.05.2024
REWE WOKMISCHUNG,1.99,1,22.05.2024
ROTE LINSEN,1.65,1,22.05.2024
REWE Bio -5%,-0.08,1,22.05.2024
EIER FH RES S-L,1.89,1,24.05.2024
"BIO FR.MILCH 3,8",1.25,1,24.05.2024
SOJAGHURT NATUR,0.89,4,24.05.2024
KOKOSMILCH,1.49,2,24.05.2024
STRACCIATELLA,0.69,1,24.05.2024
REWE Bio -5%,-0.06,1,24.05.2024
GERAMONT CLASSIC,1.99,1,27.05.2024
"BIO FR.MILCH 3,8",1.25,1,27.05.2024
SOJAGHURT NATUR,0.89,3,27.05.2024
SULTANINEN,0.99,4,27.05.2024
KAKAO,1.99,1,27.05.2024
BIO TOMATENS.KRA,1.89,2,27.05.2024
LINSEN CHIPS,1.49,1,27.05.2024
LUNGO ENTKOFF.,3.99,1,27.05.2024
REWE Bio -5%,-0.25,1,27.05.2024
MIREE KRAEUTER,1.89,1,28.05.2024
RUSTIKAL KNAECKE,2.39,1,28.05.2024
SOFT TRIP CHOC,1.69,1,28.05.2024
GERAMONT CLASSIC,1.99,2,31.05.2024
MAULTASCHEN.,2.19,1,31.05.2024
"BIO FR.MILCH 3,8",1.25,1,31.05.2024
SOJAGHURT NATUR,0.89,4,31.05.2024
GEMUESEPF. FRZ.,1.99,1,31.05.2024
BIO TOMATENS.KRA,1.89,2,31.05.2024
HERINGSFILETS,1.99,3,31.05.2024
REWE Bio -5%,-0.35,1,31.05.2024
"Heringsfilet 1,29",-2.1,1,31.05.2024
FLEISCHWU.ND,4.33,1,01.06.2024
WELTMEISTERBROT,2.39,1,01.06.2024
PAPRIKA MIX ESP,1.79,1,01.06.2024
STUECKIGE TOMATE,1.19,2,01.06.2024
"BIO FR.MILCH 3,8",1.25,1,03.06.2024
SOJAGHURT NATUR,0.89,4,03.06.2024
KOELLN BIO HAFER,2.29,1,03.06.2024
SCHOKOL. VOLLMIL,1.11,1,03.06.2024
DUPLO COCOS,2.79,1,03.06.2024
REWE Bio -5%,-0.12,1,03.06.2024
"BIO FR.MILCH 3,8",1.25,1,05.06.2024
SOJAGHURT NATUR,0.89,3,05.06.2024
HUEHNERNUDELTOPF,3.39,1,05.06.2024
REWE Bio -5%,-0.06,1,05.06.2024
"BIO FR.MILCH 3,8",1.25,1,08.06.2024
SOJAGHURT NATUR,0.89,4,08.06.2024
TORTELLINI KAESE,2.99,1,08.06.2024
HAEHN.GESCHNETZE,2.99,1,08.06.2024
SULTANINEN,0.99,4,08.06.2024
KAKAO,1.99,1,08.06.2024
KOKOSMILCH,1.49,1,08.06.2024
REWE Bio -5%,-0.06,1,08.06.2024
NATUR,1.59,2,10.06.2024
ROMARISPENTOMATE,2.79,1,10.06.2024
GURKE BW,0.79,1,10.06.2024
PAPRIKA MIX ESP,2.49,1,10.06.2024
SOJAGHURT NATUR,0.89,2,10.06.2024
HIMBEERESSIG,3.89,1,10.06.2024
ZIMT GEMAHLEN,3.89,1,10.06.2024
OLIV.GRUEN O.ST.,1.79,1,10.06.2024
TOFFIFEE 15ER,1.19,1,10.06.2024
RBW  -5%,-0.32,1,10.06.2024
BOWL ZUCCHINI,1.99,1,11.06.2024
PIZZA VEGETALE,1.99,1,11.06.2024
ROSENKOHL,2.39,1,11.06.2024
VEG.BURG.PATT.,1.99,1,11.06.2024
RBW  -5%,-0.2,1,11.06.2024
SOJAGHURT NATUR,0.89,4,12.06.2024
TOFFIFEE 15ER,1.19,2,12.06.2024
RBW  -5%,-0.18,1,12.06.2024
"BIO FR.MILCH 3,8",1.25,1,12.06.2024
GEMUESEPFANNE AN,2.22,1,12.06.2024
"BIO FR.MILCH 3,8",1.25,1,14.06.2024
SOJAGHURT NATUR,0.89,2,14.06.2024
HAFERFLOCK. ZART,1.69,1,14.06.2024
HARMONIE PADS,1.99,1,14.06.2024
RBW  -5%,-0.09,1,14.06.2024
SOJAGHURT NATUR,0.89,2,15.06.2024
TOFFIFEE 15ER,1.19,2,15.06.2024
RBW  -5%,-0.09,1,15.06.2024
"BIO FR.MILCH 3,8",1.25,1,17.06.2024
MILCHREIS,0.89,1,17.06.2024
GOLDMAIS,1.0,3,17.06.2024
KIDNEY BOHNEN,1.0,2,17.06.2024
Versch.Sorten,1.49,1,17.06.2024
RITTER CREAMY M.,0.88,1,17.06.2024
HASELNUSS,0.88,1,17.06.2024
KOKOS,0.88,1,17.06.2024
MARZIPAN,0.88,1,17.06.2024
"Ritter Sport 0,77",-0.44,1,17.06.2024
"BIO FR.MILCH 3,8",1.25,1,20.06.2024
SOJAGHURT NATUR,0.89,6,20.06.2024
SULTANINEN,0.99,4,20.06.2024
KAKAO,1.99,1,20.06.2024
ZIMT GEMAHLEN,3.89,1,20.06.2024
NATURALS ROSMARI,1.49,1,20.06.2024
KOKOS,0.88,1,20.06.2024
WAFFEL,0.88,1,20.06.2024
HASELNUSS,0.88,1,20.06.2024
RBW  -5%,-0.27,1,20.06.2024
"Ritter Sport 0,77",-0.33,1,20.06.2024
SOJAGHURT NATUR,0.89,2,21.06.2024
NATURALS ROSMARI,1.49,1,21.06.2024
COCA COLA,1.35,1,21.06.2024
"PFAND 0,25 EURO",0.25,1,21.06.2024
RBW  -5%,-0.09,1,21.06.2024
KART.FESTK.BIO,3.99,1,24.06.2024
ZWIEBELN BIO,2.49,1,24.06.2024
PAPRIKA MIX ESP,1.75,1,24.06.2024
CHAMPIGNONS BR,1.99,1,24.06.2024
"BIO FR.MILCH 3,8",1.25,1,24.06.2024
SOJAGHURT NATUR,0.89,2,24.06.2024
HAFERFLOCK. ZART,1.69,1,24.06.2024
RAVIOLI DIAVOLI,1.59,1,24.06.2024
DUSCHE NOIRE,0.99,1,24.06.2024
DUSCHE ICE KICK,0.99,1,24.06.2024
KOKOS&SHEA,0.99,1,24.06.2024
MOZZARELLA,1.11,2,26.06.2024
SOJAGHURT NATUR,0.89,4,26.06.2024
CHIPSFRISCH UNGA,2.79,1,26.06.2024
BIO EIER KL. S-L,2.49,1,28.06.2024
"BIO FR.MILCH 3,8",1.25,1,28.06.2024
SOJAGHURT NATUR,0.89,3,28.06.2024
SULTANINEN,0.99,3,28.06.2024
HERINGSFILETS,1.99,1,28.06.2024
ORIENTAL,1.99,1,28.06.2024
OLIV.GRUEN O.ST.,1.79,1,29.06.2024
BIO GETR.TOMATEN,2.99,1,29.06.2024
COCA COLA,1.35,1,29.06.2024
"PFAND 0,25 EURO",0.25,1,29.06.2024
SOJAGHURT NATUR,0.89,4,01.07.2024
CHIPSFRISCH,1.11,1,01.07.2024
BIO KESSELCHIPS,1.99,1,01.07.2024
BIO KICH.ERB.CHI,1.39,1,01.07.2024
SOJAGHURT NATUR,0.89,4,04.07.2024
HAFERFLOCK. ZART,1.69,1,04.07.2024
SCHOGETTEN ZB,0.79,1,04.07.2024
SULTANINEN,0.99,4,05.07.2024
ZIMT GEMAHLEN,3.89,1,05.07.2024
SCHO.BLACK/WHITE,0.79,1,05.07.2024
COCA COLA ZERO,1.79,1,05.07.2024
"PFAND 0,25 EURO",0.25,1,05.07.2024
"BIO FR.MILCH 3,8",1.25,1,06.07.2024
SOJAGHURT NATUR,0.89,4,06.07.2024
STRACCIATELLA,0.79,1,06.07.2024
"BIO FR.MILCH 3,8",1.25,1,08.07.2024
SOJAGHURT NATUR,0.89,4,08.07.2024
CRUNCHIPS HOTP,1.11,1,08.07.2024
"Lorenz 0,99",-0.12,1,08.07.2024
PAPRIKA ROT,1.79,1,10.07.2024
VEG.BURG.PATT.,1.99,1,10.07.2024
COCA COLA ZERO,1.29,1,10.07.2024
"PFAND 0,25 EURO",0.25,1,10.07.2024
"BIO FR.MILCH 3,8",1.25,1,11.07.2024
SOJAGHURT NATUR,0.89,3,11.07.2024
HAEHNCHENPFANNE,3.69,1,11.07.2024
HARMONIE PADS,1.99,1,11.07.2024
SOJAGHURT NATUR,0.89,4,13.07.2024
OLIV.GRUEN O.ST.,1.79,1,13.07.2024
KOKOSMILCH,1.49,2,13.07.2024
GERAMONT CLASSIC,1.99,1,15.07.2024
BIO HIRTENKAESE,1.99,2,15.07.2024
