Item Name,Price,Quantity,Date,Category,Total Price
GERAMONT CLASSIC,2.22,2,2025-01-02,Dairy,4.44
BIO EMMENTAL GER,1.79,1,2025-01-02,Dairy,1.79
KAROTTE BIO,1.49,1,2025-01-02,Vegetables,1.49
BIO SUESSR-BUTT.,3.49,1,2025-01-02,Dairy,3.49
SOJAGURT NATUR,1.11,4,2025-01-02,Yoghurt-Meal,4.44
SULTANINEN,1.19,4,2025-01-02,Yoghurt-Meal,4.76
GERAMONT CLASSIC,2.22,2,2025-01-03,Dairy,4.44
"BIO FR.MILCH 3,8",1.25,1,2025-01-03,Dairy,1.25
SOJAGURT NATUR,1.11,3,2025-01-03,Yoghurt-Meal,3.33
BACKKAKAO,1.99,2,2025-01-03,Yoghurt-Meal,3.98
MAGNESIUM,2.79,3,2025-01-03,Supplement,8.37
TEMPO TASCHENT.,2.35,1,2025-01-03,Hygiene,2.35
SOJAGURT NATUR,1.39,2,2025-01-09,Yoghurt-Meal,2.78
CORNFLAKES,1.69,1,2025-01-09,Yoghurt-Meal,1.69
SULTANINEN,1.19,2,2025-01-09,Yoghurt-Meal,2.38
BRATOEL,2.85,1,2025-01-09,Oil,2.85
ZWIEBEL ROT,1.19,1,2025-01-09,Vegetables,1.19
ROSENKOHL,0.89,1,2025-01-09,Vegetables,0.89
MANDELDRINK,1.79,1,2025-01-09,Dairy Replacement,1.79
BIO HAFERDRINK,0.95,1,2025-01-09,Dairy Replacement,0.95
SOJAGURT NATUR,1.39,3,2025-01-09,Yoghurt-Meal,4.17
KOKOSM.CREMIG,1.29,2,2025-01-09,Processed Meal Part,2.58
PASSIERTE TOMATE,1.19,1,2025-01-09,Vegetables,1.19
STUECKIGE TOMATE,1.19,1,2025-01-09,Vegetables,1.19
SOJAGURT NATUR,1.39,4,2025-01-11,Yoghurt-Meal,5.56
SULTANINEN,1.19,2,2025-01-11,Yoghurt-Meal,2.38
BANANENCHIPS,2.49,1,2025-01-13,Candy,2.49
GEMUESE RAVIOLI,1.49,1,2025-01-13,Ready Meals,1.49
VEG.AVIOLI BOLO.,1.49,1,2025-01-13,Processed Meal Part,1.49
MILDESSA 3 MIN.,2.19,1,2025-01-13,Processed Meal Part,2.19
OFEN CHIPS,1.11,1,2025-01-13,Snacks,1.11
AUFSTRICH ROTE B,1.25,1,2025-01-14,Breakfast,1.25
AUFSTRICH CASHKR,1.25,1,2025-01-14,Breakfast,1.25
EDAMAME ERBSE,1.25,1,2025-01-14,Breakfast,1.25
BE HAPPY TEE,2.99,1,2025-01-14,Tea,2.99
