item,category
GERAMONT CLASSIC,Dairy
BIO EMMENTAL GER,Dairy
KAROTTE BIO,Vegetables
BIO SUESSR-BUTT.,Dairy
SOJAGURT NATUR,Yoghurt-Meal
SULTANINEN,Yoghurt-Meal
"BIO FR.MILCH 3,8",Dairy
BACKKAKAO,Yoghurt-Meal
MAGNESIUM,Supplement
TEMPO TASCHENT.,Hygiene
CORNFLAKES,Yoghurt-Meal
BRATOEL,Oil
ZWIEBEL ROT,Vegetables
ROSENKOHL,Vegetables
MANDELDRINK,Dairy Replacement
BIO HAFERDRINK,Dairy Replacement
KOKOSM.CREMIG,Processed Meal Part
PASSIERTE TOMATE,Vegetables
STUECKIGE TOMATE,Vegetables
BANANENCHIPS,Candy
GEMUESE RAVIOLI,Ready Meals
VEG.AVIOLI BOLO.,Processed Meal Part
MILDESSA 3 MIN.,Processed Meal Part
OFEN CHIPS,Snacks
AUFSTRICH ROTE B,Breakfast
AUFSTRICH CASHKR,Breakfast
EDAMAME ERBSE,Breakfast
BE HAPPY TEE,Tea
LITTLE DREAMER,Tea
BALANCEBROT,Cereal
ZWIEBEL LAUCH,Vegetables
CHAMPIGNONS BR,Vegetables
VEGANE SCHNITZEL,Processed Meal Part
KNOBLAUCH,Vegetables
PORREE,Vegetables
BIO HAFERKLEIE,Breakfast
SERB.BOHNENSUPPE,Ready Meals
WESTF.LINSENEINT,Ready Meals
OM3 MINZFRISCH,Hygiene
KARTOFFELN,Vegetables
KAROTTE REWE PP,Vegetables
WEIZEN MEHL,Cereal
OLIV.GRUEN O.ST.,Vegetables
GETR. TOMATEN,Processed Meal Part
NATURALS ROSMARI,Snacks
ORANGE 60%,Candy
BIO PESTO ROSSO,Processed Meal Part
BIO PESTO VERDE,Processed Meal Part
PADS SENSEO DECA,Coffee
TOFFIFEE WHITE,Candy
Versch.Sorten,Snacks
SOFT CAKE ORANGE,Candy
CHIPSF.UNGA.,Snacks
BIO EIER KL. S-L,Animal
MERCI MOU.CHOC,Candy
MAULTASCHEN VEG.,Processed Meal Part
CHINAKOHL BW,Vegetables
GURKE BIO,Vegetables
ERDN.GER.+GES.,Snacks
FA,Hygiene
DG DIVINE MOMENT,Hygiene
CURRY PASTE ROT,Processed Meal Part
FRO.AL.VER.SPUEL,Hygiene
KARTOFFELN BIO,Vegetables
BIO SULTANINEN,Yoghurt-Meal
VEG. MINI-MAULT.,Processed Meal Part
HERINGSFILET TER,Ready Meals
BOHNEN-EINTOPF,Ready Meals
LINSEN-EINTOPF,Ready Meals
MUELLBEUTEL 35L,Hygiene
KINDERSCHOKOLADE,Candy
BANANE,Fruit
NUSSKERNMISCHUNG,Snacks
APFELCHIPS BIO,Candy
PAPRIKA MIX ESP,Vegetables
ORIENTAL,Snacks
COCA COLA ZERO,Cola
"PFAND 0,25 EURO",Pawn
PATNA REIS LOSE,Cereal
"2x Porree = 1,00",Discount
KAKAO,Yoghurt-Meal
BIO KESSELCHIPS,Snacks
ZUCCHINI BIO,Vegetables
CURRYPASTE  KORM,Processed Meal Part
TANDOORI CURRY P,Processed Meal Part
ZARTBITTER 50%,Candy
REWE WOKMISCHUNG,Vegetables
HOLLAEND.KAKAO,Yoghurt-Meal
SPAETZLETOPF,Ready Meals
BLATTSPINAT,Vegetables
KARTOFFEL,Vegetables
WEISSKOHL,Vegetables
OFENFRISCH.PIZZA,Ready Meals
TOIPA 3LG RC,Hygiene
RIFFELS NATURELL,Snacks
BAMI GORENG,Ready Meals
MAGNUM CLASSIC,Candy
APFEL BANANE,Processed Meal Part
COLA ZERO KOFFEI,Cola
DIJON SENF BIO,Processed Meal Part
NIMM2 SOFT,Candy
KUNTERBUNT,Candy
HENGLEIN GNOCCHI,Processed Meal Part
SCHOKO TRIO,Candy
THOMY MAYONNAISE,Processed Meal Part
TAGLIATELLE,Ready Meals
RISPENTOMATE BIO,Vegetables
AUBERGINE,Vegetables
BIO TOMATENS.BOL,Processed Meal Part
PESTO ALLA GENO.,Processed Meal Part
SOYADESS.VANILLE,Candy
SOYADESS.SCHOKO,Candy
BRUSCH.ROAST.GA.,Snacks
GNOCCHI SPIN.BAS,Processed Meal Part
GNOCCHI,Processed Meal Part
HAFERFL. ZART,Breakfast
HAEHN.GESCHNETZE,Ready Meals
